strategy,frequency
"[[[0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]

 [[0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]
  [0.02 0.98]]]",8.0
"[[[0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]

 [[0.   1.  ]
  [0.   1.  ]
  [0.01 0.99]
  [0.01 0.99]]]",4.0
"[[[0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]

 [[0.   1.  ]
  [0.01 0.99]
  [0.   1.  ]
  [0.02 0.98]]]",4.0
"[[[0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]

 [[0.   1.  ]
  [0.03 0.97]
  [0.   1.  ]
  [0.02 0.98]]]",4.0
"[[[0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]

 [[0.04 0.96]
  [0.   1.  ]
  [0.   1.  ]
  [0.01 0.99]]]",4.0
"[[[0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]
  [0.02 0.98]]

 [[0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]]",4.0
"[[[0.   1.  ]
  [0.   1.  ]
  [0.99 0.01]
  [0.   1.  ]]

 [[0.   1.  ]
  [0.   1.  ]
  [0.47 0.53]
  [0.   1.  ]]]",4.0
"[[[0.   1.  ]
  [0.   1.  ]
  [0.99 0.01]
  [0.   1.  ]]

 [[0.   1.  ]
  [0.   1.  ]
  [1.   0.  ]
  [0.   1.  ]]]",12.0
"[[[0.   1.  ]
  [0.01 0.99]
  [0.   1.  ]
  [0.   1.  ]]

 [[0.   1.  ]
  [0.   1.  ]
  [0.01 0.99]
  [0.   1.  ]]]",4.0
"[[[0.   1.  ]
  [0.01 0.99]
  [0.   1.  ]
  [0.   1.  ]]

 [[0.03 0.97]
  [0.   1.  ]
  [0.   1.  ]
  [0.01 0.99]]]",4.0
"[[[0.   1.  ]
  [0.01 0.99]
  [0.02 0.98]
  [0.01 0.99]]

 [[0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]]",4.0
"[[[0.   1.  ]
  [0.85 0.15]
  [0.   1.  ]
  [0.   1.  ]]

 [[0.   1.  ]
  [1.   0.  ]
  [0.   1.  ]
  [0.   1.  ]]]",4.0
"[[[0.01 0.99]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]

 [[0.   1.  ]
  [0.   1.  ]
  [0.01 0.99]
  [0.01 0.99]]]",4.0
"[[[0.01 0.99]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]

 [[0.01 0.99]
  [0.   1.  ]
  [0.   1.  ]
  [0.01 0.99]]]",4.0
"[[[0.01 0.99]
  [0.   1.  ]
  [0.   1.  ]
  [0.01 0.99]]

 [[0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]]",4.0
"[[[0.01 0.99]
  [0.   1.  ]
  [0.   1.  ]
  [0.02 0.98]]

 [[0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]]",4.0
"[[[0.01 0.99]
  [0.01 0.99]
  [0.   1.  ]
  [0.01 0.99]]

 [[0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]]",4.0
"[[[0.02 0.98]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]

 [[0.01 0.99]
  [0.   1.  ]
  [0.01 0.99]
  [0.   1.  ]]]",4.0
"[[[0.02 0.98]
  [0.01 0.99]
  [0.   1.  ]
  [0.01 0.99]]

 [[0.   1.  ]
  [0.01 0.99]
  [0.   1.  ]
  [0.01 0.99]]]",4.0
"[[[0.04 0.96]
  [0.   1.  ]
  [0.01 0.99]
  [0.01 0.99]]

 [[0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]]",4.0
"[[[0.06 0.94]
  [0.   1.  ]
  [0.   1.  ]
  [0.   1.  ]]

 [[0.03 0.97]
  [0.01 0.99]
  [0.   1.  ]
  [0.   1.  ]]]",4.0
"[[[1. 0.]
  [1. 0.]
  [0. 1.]
  [1. 0.]]

 [[1. 0.]
  [1. 0.]
  [0. 1.]
  [0. 1.]]]",4.0
